"Total Economy Database™ - Growth Accounting and Total Factor Productivity, 1950-2016 (Adjusted version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information please refer to the 'CONTENTS' sheet, or the Total Economy Database website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please cite the data as follows: The Conference Board Total Economy Database™ (Adjusted version), November 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,ISO,COUNTRY,NR,INDICATOR,MEASURE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Middle East,BHR,Bahrain,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,3.4,2.7,3,2.6,2.6,2.9,1.7,1.4,1.8,1.8,2,2.2,2.1,2,2,1.9,1.7,1.6,1.5,1.5,1.7,2,2.4,2.4,2.3,2.3,2,2.3,2.1,2.2,2.3,2.4,2.4,2.4,2.3,2.3
Middle East,IRN,Iran,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.7,0.8,2.8,2.7,1.3,0.2,3.5,6.3,2.5,2.6,2.6,1.8,1.7,1,2.7,4,3,4.5,3.4,3,3.3,2.6,2.4,2.2,1.6,2.1,2.3,2,1.7,1.9,2.6,2.1,2,2.1,2.1,2
Middle East,IRQ,Iraq,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.9,1,1.3,1.4,1.4,1.3,1.6,1.5,1.5
Middle East,ISR,Israel,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,8,5.6,5.5,3.8,2.4,4,3.5,3.2,2.4,2.4,2.4,2.5,2.5,2.7,3.1,2.7,2.9,2.8,2.8,3.2,2.9,2.9,3.5,3.5,3.5,3.6,3.7,3.8,3.1,3.6,3.6,3.6,3.8,3.5,3.5,3.4
Middle East,JOR,Jordan,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,5.5,5.4,5.5,5.2,4.8,4.6,4.4,4.7,4.4,4.2,4.1,4.2,3.8,4,3.8,3
Middle East,KWT,Kuwait,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,4.3,4,4.5,4.3,4,4.1,4.1,4,4,4.8,6,4.8,5.3,3.9,3.5,3.4,4.6,5.5,3.2,3,3.8,3.3,3.7,3.5,3.3,3.2,3,2.9,2.7,2.5,2.5,2.9,3,3.3,3.8,3.9
Middle East,OMN,Oman,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,1.1,1.2,1.1,0.9,1.1,1.4,1.6,1.7,1.6,0.8,1.8,1.6,1.5,1.6,1.6,1.5,1.5,1.3,1.3,1.2
Middle East,QAT,Qatar,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,2.6,2.4,3.3,2.1,1.5,3.2,1.6,2.8,1.8,0.9,1.8,1.8,1.9,1.7,1.9,1.7,1.6,1.7,1.5,1.2,1.5,1.7,1.4,1.6,1.9,2.2,2.3,2.4,2.3,2.4,2.7,2.9,3,3.3,3.5,2.9
Middle East,SAU,Saudi Arabia,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.5,1.4,1.6,1.4,1.1,2.3,3.1,3.2,3.4,3.5,3.8,4.1,4,4.2,4.6,4.6,4.8,4.5,4.4,4.2,4.1,4.3,4.3,4.2,3.9,4,4,4.1,4,4.1,4.5,4.8,4.8,5,4.4,4.4
Middle East,SYR,Syria,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,0.5,0.6,0.5,0.3,0.2,0.3,0.7,0.2,0.1,0.2,0.1,0.2,0.3,0.6,1,0.7,0.7,0.7,0.6,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.7,0.8,0.9,0.6,0.7
Middle East,ARE,United Arab Emirates,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.7,0.7,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,1.5,2,2.5,2.7,3,3.3,3.4
Middle East,YEM,Yemen,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1
North America,CAN,Canada,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,2.2,2.4,1.5,1.8,2.2,2.1,2.4,2.6,2.7,2.4,2.3,2.6,2.5,2.6,2.7,3.1,3.3,3.5,3.5,4,3.8,3.4,3.6,4.3,4.1,3.8,4,4,3.5,2.9,3.7,3.2,3,2.8,2.5,2.3,2.7
North America,USA,United States,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,2.2,2.2,2,2.4,2.5,2.7,3,3.3,3,3.1,3.1,3.2,3.4,3.6,3.6,4,4.2,4.6,5,5,4.7,5,4.9,4.8,4.9,4.7,4.6,4.4,4.3,4,4,4.2,4.2,4.1,4.1,3.9,3.7
Oceania,AUS,Australia,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,3.2,2.9,2.5,2.6,2.6,2.9,3.3,4,4.2,4.1,3.7,3.4,3.5,3.8,4.2,4.5,4.4,4.4,4.3,4.8,4.7,4.4,4.6,5.4,5.3,4.6,4.6,4.8,4.4,3.9,3.8,3.5,3.2,2.8,2.7,2.7,2.7
Oceania,NZL,New Zealand,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,1.3,1.2,1.4,1.9,1.8,1.7,2.4,3.1,2.7,2.3,2.6,2.8,2.7,2.8,3,3.3,2.9,3.4,2.5,3.4,2.6,3.2,3.6,3.9,4,3.7,3.5,3.8,3.6,3.1,3.9,4.1,4.1,4.1,4.2,4.1,4
Western Europe,AUT,Austria,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,3.1,2.5,2.1,2.5,2.3,2.4,2.7,3.3,3.2,3,3.1,3.4,3.6,3.4,3.6,4,4,4,4,4.3,4.3,4.2,4.3,4.6,4.6,4.3,4.3,4.3,4.3,4.1,3.9,4.2,4.2,4,4.1,4,4
Western Europe,BEL,Belgium,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,2.2,1.8,1.9,2.1,2.4,2.5,2.6,2.5,2.6,3,3,3.3,2.8,2.9,2.7,3.3,3.7,3.7,3.7,3.4,3.5,3.7,3.6,3.7,3.5,3.8,3.7,3.7,3.5,3.3,3.4,3.6,3.4,3.4,3.4,3.4
Western Europe,CYP,Cyprus,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.7,0.7,1,1.4,1.6,1.5,1.8,1.6,1.8,1.6,1.4,1.5,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.8,1.6,1.4,1.2,0.9
Western Europe,DNK,Denmark,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,1.4,1.3,1.4,1.9,2.3,2.3,2.4,2.7,2.6,2.4,2.7,3,3.3,3.2,3.4,3.4,3.7,4,4.2,4,3.6,3.4,3.5,3.8,3.8,3.9,4.4,4.1,3.8,2.8,3.7,3.7,3.4,3.3,3.6,3.6,3.4
Western Europe,FIN,Finland,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.8,2.4,2.3,2.3,2.4,2.4,2.4,2.2,1.9,2.1,2.3,2.4,2.5,2.7,2.7,2.4,2.2,2.5,2.7,2.3,2.4,2.4,2.7
Western Europe,FRA,France,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,2.1,1.8,1.7,2,2,2.1,2.3,2.5,2.5,2.5,2.8,2.9,3.2,2.9,2.8,3,3,3.3,3.4,3.3,3.2,3.5,3.6,3.8,3.8,3.5,3.7,3.8,3.9,3.6,3.6,3.8,3.8,3.5,3.7,3.7,3.8
Western Europe,DEU,Germany,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,3.2,2.2,1.9,2.4,2.4,2.5,2.9,3.2,3.1,3.1,3.4,3.2,3.4,3,2.7,3,2.7,2.9,3.1,3.2,2.9,3,3,3,2.8,2.7,3,3.1,2.8,2.5,2.3,2.4,2.3,2.1,2.1,2.1,2
Western Europe,GRC,Greece,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,0.7,0.5,0.6,0.6,0.6,1,1.1,1.1,1.1,1.2,1.5,1.2,1.6,1.5,1.5,1.5,1.7,1.9,2.2,1.8,2,2.2,2,2.2,1.8,2.2,2.1,2.3,2.1,2,2.4,2.4,2.2,2,2,1.8
Western Europe,ISL,Iceland,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.3,1.2,1.6,1.9,1.9,1.9,1.7,1.9,1.5,1.8,1.4,1.3,1.3,1.4,1.8,2.2,2.5,2.7,2.8,2.4,2.3,2.3,2.5,2,1.7,1.6,1.6,1.3,1.2,1.7,2.1,2.2,2.4,2.3,2.2,3.8
Western Europe,ITA,Italy,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,1.8,1.6,1.4,1.7,1.6,1.7,1.9,2.2,2.4,2.3,2.7,2.7,2.7,2.3,2.4,2.4,2.6,2.9,3,2.9,2.9,2.8,3,3.2,3.2,3,2.9,3,2.9,2.8,2.7,2.7,2.6,2.5,2.5,2.6,2.7
Western Europe,LUX,Luxembourg,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,2.7,3.4,3.5,3.6,3.6,3.7,3.2,3.4,3.5,3,3.4,2.6,2.8,2.6,2.1,2.1,2.2,2.2,2.2,2.2,1.9
Western Europe,MLT,Malta,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,1.7,0,3.8,2.2,2.5,2.6,2.7,3.2,3.3,4.1,3.7,3.9,4.4,4.2,4.4,5.1
Western Europe,NLD,Netherlands,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,1.6,1,1,1.3,1.6,1.6,1.9,2.1,2.2,2.3,2.5,2.8,3.1,2.9,2.8,3,3,3.3,3.6,3.7,3.4,3.5,3.4,3.4,3.5,3.5,3.8,3.7,3.8,3.9,3.7,3.6,3.7,3.8,3.7,3.7,3.7
Western Europe,NOR,Norway,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,3.3,2.9,2.6,2.8,2.9,3,3.2,3.5,3.4,2.8,2.7,2.7,2.7,2.6,2.5,3,3.2,3.6,3.4,3.8,3.1,3.1,3.2,3.2,3.2,3.2,3.1,2.8,3,2.9,2.8,2.5,2.3,2.4,2.3,2.3,1.9
Western Europe,PRT,Portugal,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,2.6,1.9,2.6,2.8,3.5,2.8,3.2,2.5,2.4,2.7,2.6,2.7,2.3,2,2.5,2.3,2.7,2.9,3.2,2.7,3,3.1,3.3,3.2,3.1,3.3,3.1,3.4,3.1,2.9,2.7,2.9,2.6,2.7,2.8,2.6
Western Europe,ESP,Spain,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,2.5,1.8,1.6,1.8,2.1,2.5,3,3.3,3.4,3.4,3.6,3.4,3.4,2.7,2.7,3.2,3.2,3.3,3.3,3.6,3.3,3.2,3.2,3.3,3.4,3.1,3.2,3.1,3.2,2.9,2.9,3.1,3.2,3.3,3.4,3.4,3.4
Western Europe,SWE,Sweden,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,3.2,1.9,2.6,2.9,3.1,3.5,4.3,4.5,4.5,4.5,4.6,4.1,3.8,4.4,5.1,5.5,5.5,6.1,6,6,6.3,5.9,6.1,5.9,5.2,5.6,5.9,5.7,4.7,5.4,5.4,4.9,4.6,4.2,4.1,4.3
Western Europe,CHE,Switzerland,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.3,2.2,2.5,2.5,2.7,3.4,4,4,4,4.7,4.5,4.6,4.4,4.7,5.8,5.1,5.6,6.1,6.6,6.4,6.2,6.1,6.3,6.9,6.8,7,7,6.9,6.6,6.8,7.2,7.1,6.9,6.8,7,6.9
Western Europe,GBR,United Kingdom,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,1.9,1.3,1.2,1.5,1.7,1.7,2.1,2.2,2.6,2.7,4.2,2.3,2.3,2.5,2.3,3.6,3.5,4.5,4,3.7,3.4,3.4,3.8,3.6,3.4,3.3,3.2,3.2,2.9,2.5,2.7,2.7,3.1,2.9,3,2.9,2.8
